id,name,credit,description,prereq
CMPT 380,Computer Systems Security,3,"Students are introduced to the principles and practice of computer systems security and get hands on experience with relevant tools used by security professionals.   Students also write programs to illustrate vulnerabilities and attacks such as: buffer overflow, SQL injection, cross site scripting and cross site request forgery.  Topics include:  host and application threats and hardening, storage security, virtualization, secure software development and web and mobile security. ","('CMPT 280',  'CMPT 360')"
CMPT 391,Database Management Systems,3,"This is the second course in database management systems. Topics include database design, normalization theory, transaction management, query processing, and query optimization, building and supporting secure applications. Database support for special data types such as  XML documents is considered. Support for complex applications, data analysis and information retrieval is also covered. ","('CMPT 291',)"
CMPT 395,Introduction to Software Engineering,3,"This course is an introduction to the fundamental concepts of software engineering.  Topics include software design and analysis, software process, requirements, design patterns and testing.  Team management is considered in both the lecture and in the laboratory through the use of team projects. ","('CMPT 201',)"
CMPT 398,Independent Study,3,"This course permits an intermediate-level student to work with an instructor to explore a specific topic in depth through research or directed reading in primary and secondary sources. The student plans, executes and reports the results of their independent research or study project under the direction of a faculty supervisor. To be granted enrolment in the course, the student must have made prior arrangements with a faculty member willing to supervise the student’s project. ",()
CMPT 399,Topics in Computer Science,3,"In this course, students examine one or two topics in computer science. Topics will vary from year to year, but will typically build upon material students will have seen in the second year of their studies. Consultation with the department is required prior to registration. Note: This course may be taken multiple times for credit. ","('Consent of the department',)"
CMPT 430,3D Game Development and Artificial Intelligence,3,"Modern game engines provide basic components such as animation and physics but to create a good game, the developer needs to provide functionality beyond the basics.  This course will focus non-basic features such as camera control and game search/tracking heuristics.  For the major project students will develop a portion of a game level using an existing commercial game engine. Note: CMPT 370 is recommended. ","('CMPT 330', 'CMPT 395')"
CMPT 450,Information Visualization,3,"This course continues the examination of human-computer interaction (HCI) that was begun in CMPT 250, but with the emphasis moving to the design and implementation of interactive visualization systems. Topics include design principles in information visualization, abstraction of data and user tasks, visual encoding, interaction techniques, and visualization toolkits. ","('CMPT 250', 'CMPT 305')"
CMPT 455,Introduction to Machine Learning,3,"Machine learning (ML) is the science of making computers perform tasks without being explicitly programmed. There is a multitude of real-world applications of ML (e.g. speech recognition, advanced web search and information retrieval, self-driven cars). ML is used in almost any computer application without even knowing it. This class teaches the most effective machine learning techniques, along with practical skills to implement and adapt them to new problems. ","('CMPT 340', ['STAT 151', 'MATH 335'], 'CMPT 200')"
CMPT 464,Wireless Networks and Embedded Systems,3,"This course introduces selected topics in embedded systems and wireless networks. Topics include an introduction to embedded systems with an emphasis on microcontrollers, techniques for programming embedded systems, design for low-power applications, the basics of radio communication, and protocols for both medium access control and routing within static and mobile environments. The laboratory is oriented toward the design and implementation of lecture topics using wireless sensor network hardware. ","('CMPT 395', 'CMPT 201')"
CMPT 480,Computer Network Security,3,"Students are introduced to the principles and practice of computer networks security and get hands-on experience with relevant tools used by security professionals. Students also write code to illustrate vulnerabilities and attacks such as packet spoofing, ARP poisoning and DNS cache poisoning. Topics include network threats, hardening and monitoring, internet service hardening and network intrusion prevention and detection. ","('CMPT 280', 'CMPT 361')"
CMPT 491,Datamining and Advanced Database Topics,3,"This course on data mining introduces the concepts, algorithms, techniques, and systems of data warehousing. Topics include what data mining is, data preprocessing, integration, and transformation. The design and implementation of data warehouse and OLAP systems, mining frequent patterns and association (basic concepts and advanced methods), and classification, clustering and outlier analysis are covered. ","('STAT 151', 'CMPT 291', '300-level')"
CMPT 496,Final Project,3,"In this course, students plan, conduct, and communicate the results of an independent project in Computer Science under the direction of a faculty supervisor. The project can be undertaken by an individual student or, if the scope warrants, by a team of students.  Registration is contingent on the student(s) having made prior arrangements with a faculty member willing to supervise the project.  Note:  This course is intended for students in the final year of their degree.  This course may be taken twice for credit. ","('CMPT 395', 'consent of the department')"
CMPT 498,Advanced Independent Study,3,"This course permits a senior-level student to work with an instructor to explore a specific topic in depth through research or directed reading in primary and secondary sources. The student plans, executes and reports the results of their independent research or study project under the direction of a faculty supervisor. To be granted enrolment in the course, the student must have made prior arrangements with a faculty member willing to supervise the student’s project. ",()
CMPT 499,Topics in Computer Science,3,"In this course, students examine a topic of specialization in computer science. Topics will vary from year to year. Consultation with the department is required prior to registration. Note: This course may be taken multiple times for credit. ","('Consent of the department',)"
